#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime
TA|635A|29.387699|-97.773598|119.0|Leesville, TX, USA|2009-12-17T00:00:00|2011-10-08T23:59:59
TA|636A|29.481001|-97.056999|90.0|Smothers Creek Ranch, Halletsville, TX, USA|2010-01-26T00:00:00|2011-11-09T23:59:59
TA|637A|29.438999|-96.332397|45.0|Eagle Lake, TX, USA|2010-05-24T00:00:00|2011-11-06T23:59:59
TA|638A|29.4193|-95.448097|8.0|Rosharon, TX, USA|2011-02-17T00:00:00|2011-11-06T23:59:59
TA|645A|29.4573|-90.596603|1.0|Chauvin, LA, USA|2011-03-12T00:00:00|2012-12-09T23:59:59
TA|646A|29.5832|-89.824501|0.0|Port Sulphur, LA, USA|2011-03-17T00:00:00|2013-01-27T23:59:59
TA|655A|29.5107|-83.255203|6.0|Horseshoe Beach, FL, USA|2012-02-15T00:00:00|2013-08-23T23:59:59
TA|656A|29.3689|-82.534798|28.0|Willston, FL, USA|2012-02-16T00:00:00|2013-12-20T23:59:59
TA|657A|29.585199|-81.866501|34.0|Interlachen, FL, USA|2012-02-08T00:00:00|2013-08-24T23:59:59
TA|658A|29.422001|-81.257797|11.0|Bunnell, FL, USA|2012-02-07T00:00:00|2013-12-08T23:59:59
TA|732A|28.7292|-99.970703|178.0|Laxson Ranch, Crystal City, TX, USA|2009-02-16T00:00:00|2011-01-20T23:59:59
TA|733A|28.7192|-99.2939|169.0|Divot King Ranch, Dilley, TX, USA|2009-12-03T00:00:00|2011-10-11T23:59:59
TA|734A|28.8473|-98.557602|121.0|La Parita Creek, Jourdanton, TX, USA|2009-12-02T00:00:00|2011-10-11T23:59:59
TA|735A|28.855301|-97.808098|90.0|Kenedy, TX, USA|2009-12-18T00:00:00|2011-11-13T23:59:59
TA|736A|28.955|-97.067299|45.0|Circle Diamond K Ranch, Victoria, TX, USA|2010-04-18T00:00:00|2011-11-12T23:59:59
TA|737A|28.763901|-96.440201|11.0|Port Lavaca, TX, USA|2010-05-25T00:00:00|2011-11-07T23:59:59
TA|738A|28.840401|-95.648102|13.0|Farr-Stevens Ranch, Sargent, TX, USA|2010-02-16T00:00:00|2011-11-11T23:59:59
TA|757A|28.941299|-82.068497|22.0|Oxford, FL, USA|2012-02-12T00:00:00|2013-08-24T23:59:59
TA|758A|28.962099|-81.1996|16.0|Lake Helen, FL, USA|2012-02-13T00:00:00|2013-08-29T23:59:59
